"id","tweet_id","retweet_count","tweet_created","tweet_location","text","airline","airline_sentiment"
136,"5,69625739231949E+017",1,"2015-02-22 14:32:14 -0800",,"@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015","Virgin America",1
138,"5,6962010238935E+017",0,"2015-02-22 14:09:50 -0800","All Over!","@VirginAmerica always!!! Xoxo","Virgin America",1
139,"5,69619569372824E+017",0,"2015-02-22 14:07:43 -0800","Providence, RI","@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated","Virgin America",-1
140,"5,69618527948116E+017",0,"2015-02-22 14:03:34 -0800","San Diego","@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame","Virgin America",-1
141,"5,6961649038044E+017",0,"2015-02-22 13:55:28 -0800","Los Angeles, CA","@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!","Virgin America",1
143,"5,696143657559E+017",0,"2015-02-22 13:47:02 -0800","New York","@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas","Virgin America",-1
145,"5,69609971383587E+017",0,"2015-02-22 13:29:34 -0800","iPhone: 29.741360,-90.131523","@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(","Virgin America",-1
146,"5,69608328998887E+017",0,"2015-02-22 13:23:03 -0800","Los Angeles","@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.","Virgin America",-1
147,"5,69599867716133E+017",2,"2015-02-22 12:49:25 -0800","hollywood, california","Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.","Virgin America",1
148,"5,69596445680116E+017",0,"2015-02-22 12:35:49 -0800","Washington, DC","@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf","Virgin America",1
150,"5,69594386066985E+017",0,"2015-02-22 12:27:38 -0800","Las Vegas",".@VirginAmerica does that mean you don't have a policy for destroyed luggage?","Virgin America",-1
152,"5,69580805036454E+017",0,"2015-02-22 11:33:40 -0800","San Francisco","@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)","Virgin America",1
158,"5,69572740723712E+017",0,"2015-02-22 11:01:38 -0800","CA","@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!","Virgin America",-1
159,"5,69566981835219E+017",0,"2015-02-22 10:38:45 -0800","@ the moment in New Delhi","@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site","Virgin America",-1
160,"5,69564853460808E+017",0,"2015-02-22 10:30:17 -0800","Brooklyn","@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.","Virgin America",-1
161,"5,69564610837086E+017",0,"2015-02-22 10:29:19 -0800","Brooklyn","@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)","Virgin America",-1
162,"5,6956220240502E+017",0,"2015-02-22 10:19:45 -0800","Washington, DC","@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter","Virgin America",-1
165,"5,69494748341408E+017",0,"2015-02-22 05:51:43 -0800","Washington, DC","@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers","Virgin America",-1
168,"5,69461469042967E+017",0,"2015-02-22 03:39:28 -0800","Philadelphia, Pa","@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!","Virgin America",-1
176,"5,69354267854705E+017",0,"2015-02-21 20:33:30 -0800","Barbados ","@VirginAmerica Thank you for the follow","Virgin America",1
177,"5,69351220097217E+017",0,"2015-02-21 20:21:23 -0800",,"@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers","Virgin America",-1
178,"5,69348775631675E+017",0,"2015-02-21 20:11:40 -0800",,"@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?","Virgin America",-1
181,"5,69323082701275E+017",0,"2015-02-21 18:29:35 -0800","Northern Virginia","@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!","Virgin America",-1
182,"5,69318651502989E+017",0,"2015-02-21 18:11:58 -0800","Boston, MA","@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?","Virgin America",-1
183,"5,69318130356503E+017",0,"2015-02-21 18:09:54 -0800","Worldwide","😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt","Virgin America",1
184,"5,69316358845911E+017",0,"2015-02-21 18:02:51 -0800","LaLa Land","@VirginAmerica Only way to fly! #Elevate #Gold","Virgin America",1
186,"5,69311060903268E+017",0,"2015-02-21 17:41:48 -0800",,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.","Virgin America",-1
187,"5,69310635986547E+017",0,"2015-02-21 17:40:07 -0800","Las Vegas, NV","@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever","Virgin America",-1
189,"5,69304436612444E+017",0,"2015-02-21 17:15:29 -0800","DC - LA - Venice Beach","@VirginAmerica you will match my #AmericanAirlines status? Cool!","Virgin America",1
192,"5,69303931916038E+017",0,"2015-02-21 17:13:29 -0800",,"@VirginAmerica you suck!","Virgin America",-1
193,"5,69298165855339E+017",0,"2015-02-21 16:50:34 -0800","BAYAREA✈️NYC","@VirginAmerica thanks!","Virgin America",1
194,"5,69290361870426E+017",0,"2015-02-21 16:19:33 -0800","Washington, DC","@VirginAmerica Just DM'd. Same issue persisting.","Virgin America",-1
195,"5,69282249717195E+017",0,"2015-02-21 15:47:19 -0800","New York City ","@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids","Virgin America",-1
197,"5,69277352129139E+017",0,"2015-02-21 15:27:52 -0800","MA // Ashton in Wonderland","@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything","Virgin America",-1
204,"5,69253311813186E+017",0,"2015-02-21 13:52:20 -0800","Los Angeles, California","@VirginAmerica Keep up the great work :)","Virgin America",1
208,"5,69248400836727E+017",0,"2015-02-21 13:32:49 -0800",,"@VirginAmerica Thanks so much for the awesome support, you guys rock!","Virgin America",1
209,"5,69247769166266E+017",0,"2015-02-21 13:30:18 -0800","CT","@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback","Virgin America",-1
210,"5,69247394002563E+017",0,"2015-02-21 13:28:49 -0800","CT","@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.","Virgin America",-1
212,"5,69240250192671E+017",0,"2015-02-21 13:00:26 -0800","New York, NY","@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!","Virgin America",1
213,"5,69238877178716E+017",0,"2015-02-21 12:54:58 -0800",,"@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?","Virgin America",-1
216,"5,69236251129164E+017",0,"2015-02-21 12:44:32 -0800","Silicon Valley, California","@VirginAmerica your mobile site is broken, shows ""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin","Virgin America",-1
217,"5,69230983075115E+017",0,"2015-02-21 12:23:36 -0800","New York, NY","@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin","Virgin America",-1
218,"5,6922978550068E+017",0,"2015-02-21 12:18:51 -0800","New York, NY","@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?","Virgin America",-1
219,"5,69226875349836E+017",0,"2015-02-21 12:07:17 -0800","chile","@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks","Virgin America",-1
220,"5,69224234150404E+017",0,"2015-02-21 11:56:47 -0800","California, USA","@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh","Virgin America",-1
221,"5,69223788639822E+017",0,"2015-02-21 11:55:01 -0800","California, USA","@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...","Virgin America",-1
222,"5,69222494952886E+017",0,"2015-02-21 11:49:53 -0800",,"@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj","Virgin America",1
223,"5,69221440794272E+017",0,"2015-02-21 11:45:41 -0800",,"@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline","Virgin America",1
224,"5,69221156504531E+017",0,"2015-02-21 11:44:33 -0800",,"@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad","Virgin America",-1
226,"5,69218762907324E+017",0,"2015-02-21 11:35:03 -0800","SF Bay Area","@VirginAmerica hold times at call center are a bit much","Virgin America",-1
227,"5,69212570478911E+017",0,"2015-02-21 11:10:26 -0800","Los Angeles, CA","@VirginAmerica Like http://t.co/VPqEm31XUQ","Virgin America",1
229,"5,6920956671547E+017",0,"2015-02-21 10:58:30 -0800","Los Angeles, CA","@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l","Virgin America",1
231,"5,69205125278859E+017",0,"2015-02-21 10:40:51 -0800","Massachusetts","@VirginAmerica thanks so much!","Virgin America",1
232,"5,69204272795005E+017",0,"2015-02-21 10:37:28 -0800","Los Angeles, CA","@VirginAmerica Trying to reset my password, email never arrives. Help?","Virgin America",-1
233,"5,6920269118591E+017",0,"2015-02-21 10:31:11 -0800","New York","@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9","Virgin America",1
234,"5,69201943131738E+017",0,"2015-02-21 10:28:13 -0800","Las Vegas","@VirginAmerica Very nicely done. 👏","Virgin America",1
235,"5,69200619430421E+017",0,"2015-02-21 10:22:57 -0800","Massachusetts","@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)","Virgin America",1
236,"5,69200606595953E+017",0,"2015-02-21 10:22:54 -0800",,"@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?","Virgin America",-1
237,"5,69198782421664E+017",0,"2015-02-21 10:15:39 -0800",,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?","Virgin America",-1
238,"5,69198104806699E+017",0,"2015-02-21 10:12:58 -0800",,"@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗","Virgin America",1
239,"5,69197967959155E+017",0,"2015-02-21 10:12:25 -0800","CALIFORNIA, USA","@VirginAmerica sounds like fun !","Virgin America",1
243,"5,69182336715244E+017",0,"2015-02-21 09:10:18 -0800","Somewhere outside of Fenway","@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?","Virgin America",-1
244,"5,69180623165915E+017",0,"2015-02-21 09:03:30 -0800","Abuja","@VirginAmerica classiq, luv Virgin America. Greetingz","Virgin America",1
245,"5,69179517522047E+017",0,"2015-02-21 08:59:06 -0800","chile","@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues","Virgin America",-1
246,"5,6917677705608E+017",0,"2015-02-21 08:48:13 -0800","Los Angeles, CA","@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!","Virgin America",1
247,"5,69165709516759E+017",0,"2015-02-21 08:04:14 -0800","Las Piedras, Peru","@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason","Virgin America",1
248,"5,69110766235877E+017",0,"2015-02-21 04:25:54 -0800","Charlestown, MA","@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!","Virgin America",1
250,"5,69028851860255E+017",0,"2015-02-20 23:00:24 -0800","San Francisco","@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ","Virgin America",-1
251,"5,69022319437357E+017",0,"2015-02-20 22:34:27 -0800","Las Vegas","@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.","Virgin America",-1
254,"5,69011849976349E+017",0,"2015-02-20 21:52:51 -0800","#SF#Optimist #Freefalling","@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo","Virgin America",1
259,"5,68945958970532E+017",0,"2015-02-20 17:31:01 -0800","Los Angeles, CA","@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒","Virgin America",-1
262,"5,68942331921093E+017",0,"2015-02-20 17:16:37 -0800","San Francisco","@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!","Virgin America",-1
263,"5,68940002849255E+017",0,"2015-02-20 17:07:21 -0800","Montreal","@VirginAmerica there is something wrong with you website in Safari iPhone","Virgin America",-1
264,"5,68929979981034E+017",1,"2015-02-20 16:27:32 -0800","Orange County, CA","@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet","Virgin America",1
265,"5,68929026644976E+017",0,"2015-02-20 16:23:44 -0800","San Francisco","@VirginAmerica Already checked in so the page expired :X","Virgin America",-1
266,"5,68928741298012E+017",0,"2015-02-20 16:22:36 -0800",,"@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!","Virgin America",-1
272,"5,68911350656676E+017",0,"2015-02-20 15:13:30 -0800","Boca Raton FL 33434","@VirginAmerica your inflight team makes the experience #amazing!","Virgin America",1
273,"5,68910590921609E+017",0,"2015-02-20 15:10:29 -0800","Follow/Retweet for giveaways!","@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J","Virgin America",1
274,"5,68901823215448E+017",0,"2015-02-20 14:35:38 -0800","Los Angeles","@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED","Virgin America",-1
277,"5,6889007416481E+017",0,"2015-02-20 13:48:57 -0800","Follow/Retweet for giveaways!","@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)","Virgin America",1
280,"5,68882014415249E+017",0,"2015-02-20 13:16:56 -0800",,"@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help","Virgin America",-1
281,"5,68874645564363E+017",0,"2015-02-20 12:47:39 -0800","NY, NY","@VirginAmerica Thank you!!","Virgin America",1
282,"5,68868127364096E+017",0,"2015-02-20 12:21:45 -0800","Rijswijk ♡ The Netherlands","@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.","Virgin America",-1
287,"5,68853685855334E+017",0,"2015-02-20 11:24:22 -0800",,"@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!","Virgin America",-1
288,"5,68850967673897E+017",0,"2015-02-20 11:13:34 -0800","dc","@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!","Virgin America",-1
289,"5,68850943359496E+017",0,"2015-02-20 11:13:28 -0800","San Francisco, CA","@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)","Virgin America",-1
298,"5,68830133626253E+017",0,"2015-02-20 09:50:46 -0800","New York, NY","@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS","Virgin America",-1
301,"5,68824637267685E+017",0,"2015-02-20 09:28:56 -0800","San Francisco","@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr","Virgin America",-1
304,"5,68812046747202E+017",1,"2015-02-20 08:38:54 -0800",,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff","Virgin America",-1
306,"5,68805696780825E+017",0,"2015-02-20 08:13:40 -0800","Hoboken, NJ","@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!","Virgin America",1
307,"5,68803996774879E+017",0,"2015-02-20 08:06:55 -0800","New York City","@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!","Virgin America",1
308,"5,68802396907835E+017",0,"2015-02-20 08:00:33 -0800","San Francisco, CA","@VirginAmerica happy to spend the day together. Let's do this!","Virgin America",1
314,"5,687901644049E+017",0,"2015-02-20 07:11:57 -0800","Brooklyn, NY","@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD","Virgin America",-1
316,"5,68775898234798E+017",0,"2015-02-20 06:15:16 -0800","Brooklyn, NY","@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg","Virgin America",-1
